Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C25578	C225362		Microscopic Findings Result Modifier	MYOCARDIAL		Of, or pertaining to, the myocardium.	Myocardial
C25579	C225362		Microscopic Findings Result Modifier	MYOMETRIAL		Of, or pertaining to, the myometrium.	Myometrial
C225955	C225362		Microscopic Findings Result Modifier	MYXOMATOUS		Of, or pertaining to amorphous extracellular matrix material.	Myxomatous Pattern
C45315	C225362		Microscopic Findings Result Modifier	NEOPLASTIC		Of, or pertaining to, a neoplasm or neoplasia.	Neoplastic
C225956	C225362		Microscopic Findings Result Modifier	NEURONAL		Of, or pertaining to, a neuron.	Neuronal
C225957	C225362		Microscopic Findings Result Modifier	NEUTROPHILIC		Of, or pertaining to a neutrophil.	Neutrophilic
C35899	C225362		Microscopic Findings Result Modifier	NODULAR		Of, pertaining to, or of the appearance of having nodules.	Nodular Pattern
C225958	C225362		Microscopic Findings Result Modifier	NONGLANDULAR	Non-Glandular	Of, or pertaining to the non-glandular region of the stomach.	Gastric Nonglandular
C13361	C225362		Microscopic Findings Result Modifier	NUCLEAR	Intranuclear	Within the nucleus.	Nuclear
C87163	C225362		Microscopic Findings Result Modifier	OCULAR		Of, or pertaining to the eye.	Ocular
C98765	C225362		Microscopic Findings Result Modifier	OLFACTORY REGION		The area of mucosa in the nose lined by olfactory epithelium and containing olfactory glands. (NCI)	Olfactory Region
C225959	C225362		Microscopic Findings Result Modifier	OLFACTORY		Of, or pertaining to, components of the olfactory system.	Olfactory
C225960	C225362		Microscopic Findings Result Modifier	ORTHOKERATOTIC		Of, or pertaining to hyperkeratosis characterized by a paucity of nuclei within the keratinocytes in the stratum corneum.	Orthokeratotic Finding
C225961	C225362		Microscopic Findings Result Modifier	OSSEOUS		Of, or pertaining to, a finding that shares some qualities of bone.	Osseous Finding
C25726	C225362		Microscopic Findings Result Modifier	PANCREATIC		Of, or pertaining to, the pancreas.	Pancreatic
C225962	C225362		Microscopic Findings Result Modifier	PANLOBULAR	Pan-Lobular	Of, or pertaining to all of the lobules within an organ or the entirety of a single lobule within an organ.	Panlobular
C225963	C225362		Microscopic Findings Result Modifier	PANOCULAR	Pan-Ocular	Of, or pertaining to the entirety of a single eye.	Panocular
C14166	C225362		Microscopic Findings Result Modifier	PAPILLARY		Of, or pertaining to, a papilla or a papilla-shaped structure.	Papillary
C225964	C225362		Microscopic Findings Result Modifier	PARACORTICAL		Of, or pertaining to, the area adjacent to a cortex.	Paracortical
C225965	C225362		Microscopic Findings Result Modifier	PARAFOLLICULAR		Of, or pertaining to, the area adjacent to a follicle.	Parafollicular
C225966	C225362		Microscopic Findings Result Modifier	PARAKERATOTIC		Of, or pertaining to hyperkeratosis characterized by the presence of nucleated keratinocytes in the stratum corneum.	Parakeratotic Finding
C225967	C225362		Microscopic Findings Result Modifier	PARANASAL		Of, or pertaining to, the area adjacent to a nasal cavity.	Paranasal
C225968	C225362		Microscopic Findings Result Modifier	PARAOVARIAN		Of, or pertaining to, the area adjacent to an ovary.	Paraovarian
C225969	C225362		Microscopic Findings Result Modifier	PARASITIC		Of, or pertaining to, a parasite.	Parasitic
C225970	C225362		Microscopic Findings Result Modifier	PARATHYROID		Of, or pertaining to, the area adjacent to the thyroid gland.	Parathyroid
C225971	C225362		Microscopic Findings Result Modifier	PARENCHYMAL		Of, or pertaining to, the parenchyma.	Parenchymal
C73945	C225362		Microscopic Findings Result Modifier	PATCHY		Irregular or uneven in quality, texture, or distribution.	Patchy
C226255	C225362		Microscopic Findings Result Modifier	PELVIC		Of, or pertaining to, the pelvis.	Pelvic
C225993	C225362		Microscopic Findings Result Modifier	PERI-ISLET	Peri-Insular	Around an islet.	Peri-Islet
C225973	C225362		Microscopic Findings Result Modifier	PERIADNEXAL		Around the adnexa.	Periadnexal
C225974	C225362		Microscopic Findings Result Modifier	PERIANAL		Around the anus.	Perianal
C225975	C225362		Microscopic Findings Result Modifier	PERIAORTIC		Around the aorta.	Periaortic
C225976	C225362		Microscopic Findings Result Modifier	PERIARTERIAL		Around an artery.	Periarterial
C225977	C225362		Microscopic Findings Result Modifier	PERIARTERIOLAR REGION		The area surrounding arterioles.	Periarteriolar Region
C225978	C225362		Microscopic Findings Result Modifier	PERIARTICULAR		Around a joint.	Periarticular
C225979	C225362		Microscopic Findings Result Modifier	PERIBILIARY		Around a bile duct.	Peribiliary
C225980	C225362		Microscopic Findings Result Modifier	PERIBRONCHIAL		Around the bronchus.	Peribronchial
C225981	C225362		Microscopic Findings Result Modifier	PERIBRONCHIOLAR		Around a bronchiole.	Peribronchiolar
C225982	C225362		Microscopic Findings Result Modifier	PERIBULBAR		Around the globe of the eye.	Peribulbar
C225983	C225362		Microscopic Findings Result Modifier	PERICANALICULAR		Around a canaliculus.	Pericanalicular
C38001	C225362		Microscopic Findings Result Modifier	PERICARDIAL		Around the heart.	Pericardial
C225984	C225362		Microscopic Findings Result Modifier	PERIDUCTAL		Around a duct.	Periductal
C225985	C225362		Microscopic Findings Result Modifier	PERIDUCTULAR		Around a ductule.	Periductular
C225986	C225362		Microscopic Findings Result Modifier	PERIESOPHAGEAL		Around the esophagus.	Periesophageal
C225987	C225362		Microscopic Findings Result Modifier	PERIFOLLICULAR		Around a follicle.	Perifollicular
C225988	C225362		Microscopic Findings Result Modifier	PERIGANGLIA		Around several ganglion.	Periganglia
C225989	C225362		Microscopic Findings Result Modifier	PERIGANGLION		Around a ganglion.	Periganglion
C225990	C225362		Microscopic Findings Result Modifier	PERIGLANDULAR		Around a gland.	Periglandular
C225991	C225362		Microscopic Findings Result Modifier	PERIGLOMERULAR		Around a glomerulus.	Periglomerular
C225992	C225362		Microscopic Findings Result Modifier	PERIHEPATIC REGION		The area surrounding the liver.	Perihepatic Region
C225994	C225362		Microscopic Findings Result Modifier	PERINEURIAL	Perineural	Of, or pertaining to, the perineurium.	Perineurial
C225995	C225362		Microscopic Findings Result Modifier	PERINEURONAL		Around a neuron.	Perineuronal
C225996	C225362		Microscopic Findings Result Modifier	PERINODAL		Around a lymph node.	Perinodal
C225997	C225362		Microscopic Findings Result Modifier	PERIODONTAL		Of, or pertaining to, the periodontium.	Periodontal
C98190	C225362		Microscopic Findings Result Modifier	PERIORBITAL		Around the orbit of the eye.	Periorbital
C225998	C225362		Microscopic Findings Result Modifier	PERIOSTEAL		Of, or pertaining to, the periosteum.	Periosteal
C25233	C225362		Microscopic Findings Result Modifier	PERIPHERAL		On or near an edge or constituting an outer boundary; the outer area. (NCI)	Peripheral
C226000	C225362		Microscopic Findings Result Modifier	PERIPORTAL REGION		The area surrounding the portal area of the liver.	Periportal Region
C225999	C225362		Microscopic Findings Result Modifier	PERIPORTAL		Of, or pertaining to the periportal region.	Periportal
C226001	C225362		Microscopic Findings Result Modifier	PERISPLENIC REGION		The area surrounding the spleen.	Perisplenic Region
C226002	C225362		Microscopic Findings Result Modifier	PERISTERNAL		Around the sternum.	Peristernal
C226003	C225362		Microscopic Findings Result Modifier	PERITENDINOUS		Of, or pertaining to, the area surrounding a tendon.	Peritendinous
C25313	C225362		Microscopic Findings Result Modifier	PERITONEAL		Of, or pertaining to, the peritoneum.	Peritoneal
C226004	C225362		Microscopic Findings Result Modifier	PERITRACHEAL		Around the trachea.	Peritracheal
C226005	C225362		Microscopic Findings Result Modifier	PERITUBULAR		Around a tubule.	Peritubular
C226006	C225362		Microscopic Findings Result Modifier	PERIVASCULAR		Around a vessel.	Perivascular
C226007	C225362		Microscopic Findings Result Modifier	PERIVENOUS		Of, or pertaining to, the area surrounding a vein.	Perivenous
C43623	C225362		Microscopic Findings Result Modifier	PERSISTENT		Retained; never-ceasing.	Persistent
C17650	C225362		Microscopic Findings Result Modifier	PHYSIOLOGIC		Of, or pertaining to, the functions of the body.	Physiologic
C226008	C225362		Microscopic Findings Result Modifier	PIGMENTED		Of, or pertaining to, pigment.	Pigmented
C226009	C225362		Microscopic Findings Result Modifier	PLASMACYTIC		Of, or pertaining to, plasma cells.	Plasmacytic
C28109	C225362		Microscopic Findings Result Modifier	PLEOMORPHIC		Having variation in the size and shape of cells or nuclei.	Pleomorphic
C25223	C225362		Microscopic Findings Result Modifier	PLEURAL		Of, or pertaining to, the pleura.	Pleural
C96279	C225362		Microscopic Findings Result Modifier	POLYPOID		Of, or pertaining to, a polyp.	Polypoid
C36132	C225362		Microscopic Findings Result Modifier	POORLY DIFFERENTIATED		Of, or pertaining to, a lesion or cells that have little to no characteristics of the normal origin tissue.	Poorly Differentiated Lesion
C226010	C225362		Microscopic Findings Result Modifier	PORTAL REGION		The area in proximity to the portal vein, hepatic artery, and bile duct of the liver.	Portal Region
C38007	C225362		Microscopic Findings Result Modifier	PORTAL		Of, or pertaining to, a liver portal.	Portal
C226011	C225362		Microscopic Findings Result Modifier	POSTTRAUMATIC		Following a traumatic event.	Posttraumatic
C226012	C225362		Microscopic Findings Result Modifier	PREDOMINANTLY	Predominately	Of, or pertaining to, the most common component.	Predominantly
C226013	C225362		Microscopic Findings Result Modifier	PREMOLAR		Of, or pertaining to, a premolar tooth.	Premolar
C226014	C225362		Microscopic Findings Result Modifier	PREPUTIAL		Of, or pertaining to, the preputium.	Preputial
C226015	C225362		Microscopic Findings Result Modifier	PRESCAPULAR		In front of the scapula.	Prescapular
C25251	C225362		Microscopic Findings Result Modifier	PRIMARY		Occurring first in place, order, degree, value, or rank.	Primary
C226016	C225362		Microscopic Findings Result Modifier	PRIMORDIAL		Of, or pertaining to, the earliest stage of development.	Primordial
C25254	C225362		Microscopic Findings Result Modifier	PROGRESSIVE		Advancing in extent or severity.	Progressive
C226018	C225362		Microscopic Findings Result Modifier	PROTEINACEOUS MATERIAL		A physical substance composed of protein or having the appearance of protein.	Proteinaceous Material
C226017	C225362		Microscopic Findings Result Modifier	PROTEINACEOUS		Of, or pertaining to, a substance containing protein.	Proteinaceous
C28028	C225362		Microscopic Findings Result Modifier	PROTOZOAL		Of, or pertaining to, a protozoan.	Protozoal
C25236	C225362		Microscopic Findings Result Modifier	PROXIMAL		Situated nearest to a point of reference.	Proximal
C13304	C225362		Microscopic Findings Result Modifier	PULMONARY		Of, or pertaining to, the lungs.	Pulmonary
C226020	C225362		Microscopic Findings Result Modifier	PYLORIC REGION		The area in proximity to the pylorus of the stomach.	Pyloric Region
C226019	C225362		Microscopic Findings Result Modifier	PYLORIC		Of, or pertaining to, the pylorus.	Pyloric
C226021	C225362		Microscopic Findings Result Modifier	PYOGRANULOMATOUS		Of, or pertaining to, a finding that shares some qualities of a granuloma with pus.	Pyogranulomatous Finding
C48326	C225362		Microscopic Findings Result Modifier	RED		The hue of the long-wave end of the visible spectrum, evoked in the human observer by radiant energy with wavelengths of approximately 630 to 750 nanometers; any of a group of colors that may vary in lightness and saturation and whose hue resembles that of blood.	Red
C25225	C225362		Microscopic Findings Result Modifier	RENAL		Of, or pertaining to, a kidney.	Renal
C226022	C225362		Microscopic Findings Result Modifier	RESOLVING		Decreasing in extent or severity.	Resolving
C25656	C225362		Microscopic Findings Result Modifier	RESPIRATORY		Of, or pertaining to, components of the respiratory system.	Respiratory
C87176	C225362		Microscopic Findings Result Modifier	RETINAL		Of, or pertaining to, the retina.	Retinal
C226023	C225362		Microscopic Findings Result Modifier	RETROLENTICULAR		Behind the lens.	Retrolenticular
C226024	C225362		Microscopic Findings Result Modifier	RETROPHARYNGEAL		Behind the pharynx.	Retropharyngeal
C226025	C225362		Microscopic Findings Result Modifier	RETRORETINAL		Behind the retina.	Retroretinal
C38017	C225362		Microscopic Findings Result Modifier	SALIVARY		Of, or pertaining to, the salivary glands and/or saliva.	Salivary
C226026	C225362		Microscopic Findings Result Modifier	SCIATIC		Of, or pertaining to, the sciatic nerve.	Sciatic
C226027	C225362		Microscopic Findings Result Modifier	SEBACEOUS		Of, or pertaining to, sebocytes or sebum.	Sebaceous Finding
C25667	C225362		Microscopic Findings Result Modifier	SECONDARY		Occurring second in place, order, degree, value, or rank.	Secondary
C226028	C225362		Microscopic Findings Result Modifier	SECRETORY		Of, or pertaining to, a gland or other structure producing a secretion.	Secretory
C186021	C225362		Microscopic Findings Result Modifier	SEPTAL		Of, or related to, or in the direction of, an anatomical septum.	Septal
C226029	C225362		Microscopic Findings Result Modifier	SEROCELLULAR		Of, or related to serum and blood cells.	Serocellular
C14168	C225362		Microscopic Findings Result Modifier	SEROUS		Of, or pertaining to, a finding that shares some qualities of serum.	Serous
C226030	C225362		Microscopic Findings Result Modifier	SIDEROFIBROTIC		Of, or pertaining to, fibrosis characterized by iron deposits.	Siderofibrotic Finding
C226031	C225362		Microscopic Findings Result Modifier	SINUSOIDAL		Of, or pertaining to, a sinusoid.	Sinusoidal
C226032	C225362		Microscopic Findings Result Modifier	SMALL LYMPHOCYTIC		Of, or pertaining to, small lymphocytes.	Small Lymphocytic
C226033	C225362		Microscopic Findings Result Modifier	SPLENIC		Of, or pertaining to, the spleen.	Splenic
C226034	C225362		Microscopic Findings Result Modifier	SPORADIC		Occurring occasionally or at irregular intervals.	Sporadic
C226035	C225362		Microscopic Findings Result Modifier	SQUAMOUS		Of, or pertaining to a finding or structure containing squamous cells or tissue.	Squamous Finding
C226036	C225362		Microscopic Findings Result Modifier	STROMAL		Of, or pertaining to, the stroma.	Stromal
C226038	C225362		Microscopic Findings Result Modifier	SUBCAPSULAR REGION		The area beneath a capsule.	Subcapsular Region
C226037	C225362		Microscopic Findings Result Modifier	SUBCAPSULAR		Beneath a capsule.	Subcapsular
C226039	C225362		Microscopic Findings Result Modifier	SUBCHONDRAL		Beneath the articular cartilage.	Subchondral
C226040	C225362		Microscopic Findings Result Modifier	SUBCORNEAL		Beneath the cornea.	Subcorneal
C165870	C225362		Microscopic Findings Result Modifier	SUBCORTICAL		Denoting the area below a cortex.	Subcortical
C13353	C225362		Microscopic Findings Result Modifier	SUBCUTANEOUS		Of, or pertaining to, the subcutis.	Subcutaneous
C226041	C225362		Microscopic Findings Result Modifier	SUBENDOCARDIAL		Beneath the endocardium.	Subendocardial
C226042	C225362		Microscopic Findings Result Modifier	SUBEPITHELIAL		Beneath the epithelium.	Subepithelial
C129462	C225362		Microscopic Findings Result Modifier	SUBMANDIBULAR		Beneath the mandible.	Submandibular
C96296	C225362		Microscopic Findings Result Modifier	SUBMUCOSAL		Beneath the mucosa.	Submucosal
C226043	C225362		Microscopic Findings Result Modifier	SUBPLEURAL		Beneath the pleura.	Subpleural
C189892	C225362		Microscopic Findings Result Modifier	SUBRETINAL		Beneath the retina.	Subretinal
C226044	C225362		Microscopic Findings Result Modifier	SUBSCAPULAR		Beneath the scapula.	Subscapular
C25239	C225362		Microscopic Findings Result Modifier	SUPERFICIAL		Of or pertaining to the exterior surface. (NCI)	Superficial
C226045	C225362		Microscopic Findings Result Modifier	SUPRACHOROIDAL		Of, or pertaining to, the space between the sclera and choroid.	Suprachoroidal
C226046	C225362		Microscopic Findings Result Modifier	SUTURAL		Of, or pertaining to, a suture.	Sutural
C50365	C225362		Microscopic Findings Result Modifier	SUTURE MATERIAL		A physical substance used to close a surgical or accidental wound.	Suture Device
C226047	C225362		Microscopic Findings Result Modifier	SYNOVIAL		Of, or pertaining to, the synovium.	Synovial
C71903	C225362		Microscopic Findings Result Modifier	TERTIARY		Occurring third in place, order, degree, value, or rank.	Tertiary
C13360	C225362		Microscopic Findings Result Modifier	THORACIC		Of, or pertaining to, the anatomic region of the thorax.	Thoracic
C226048	C225362		Microscopic Findings Result Modifier	THROMBIC	Thrombotic	Of, or pertaining to, a thrombus.	Thrombic
C226049	C225362		Microscopic Findings Result Modifier	THYMIC		Of, or pertaining to, the thymus and its components.	Thymic
C226050	C225362		Microscopic Findings Result Modifier	TRABECULAR		Of, or pertaining to a trabecula.	Trabecular
C86929	C225362		Microscopic Findings Result Modifier	TRANSMURAL		Across an anatomic wall.	Transmural
C14169	C225362		Microscopic Findings Result Modifier	TUBULAR		Of, or pertaining to a tubule.	Tubular
C226051	C225362		Microscopic Findings Result Modifier	TUBULOINTERSTITIAL		Of, or pertaining to, tubules and interstitium.	Tubulointerstitial
C226052	C225362		Microscopic Findings Result Modifier	TUBULOSTROMAL		Of, or pertaining to, tubules and stroma.	Tubulostromal
C68598	C225362		Microscopic Findings Result Modifier	UNILATERAL		Affecting one side of the body or one of a pair of organs.	Unilateral
C226053	C225362		Microscopic Findings Result Modifier	UROTHELIAL		Of, or pertaining to, the urothelium.	Urothelial
C226054	C225362		Microscopic Findings Result Modifier	UVEAL		Of, or pertaining to, the uvea.	Uveal
C226055	C225362		Microscopic Findings Result Modifier	VACUOLAR		Of, or pertaining to a vacuole.	Vacuolar
C226056	C225362		Microscopic Findings Result Modifier	VALVULAR		Of, or pertaining to a valve.	Valvular
C13311	C225362		Microscopic Findings Result Modifier	VASCULAR		Of, or pertaining to a vessel.	Vascular
C226057	C225362		Microscopic Findings Result Modifier	VASCULAR/PERIVASCULAR		Of, or pertaining to a vessel and/or the area around the vessel.	Vascular and/or Perivascular
C25291	C225362		Microscopic Findings Result Modifier	VENOUS		Of, or pertaining to, a vein.	Venous
C45875	C225362		Microscopic Findings Result Modifier	VENTRAL		Pertaining to the front or lower surface of the body.	Ventral
C38055	C225362		Microscopic Findings Result Modifier	VENTRICULAR		Of, or pertaining to a ventricle.	Ventricular
C226058	C225362		Microscopic Findings Result Modifier	VESICULAR		Of, or pertaining to a vesicle.	Vesicular
C14170	C225362		Microscopic Findings Result Modifier	VILLOUS		Of, pertaining to, or containing villi.	Villous
C27985	C225362		Microscopic Findings Result Modifier	VIRAL		Of, or pertaining to, a virus.	Viral
C226059	C225362		Microscopic Findings Result Modifier	VITREORETINAL		Of, or pertaining to, the vitreous and retina.	Vitreoretinal
C36133	C225362		Microscopic Findings Result Modifier	WELL DIFFERENTIATED		Of, or pertaining to, a lesion or cells that have most characteristics of the normal origin tissue.	Well Differentiated Lesion
C48325	C225362		Microscopic Findings Result Modifier	WHITE		The achromatic color of maximum lightness; the color of objects that reflect nearly all light of all visible wavelengths; the complement or antagonist of black, the other extreme of the neutral gray series.	White
C48330	C225362		Microscopic Findings Result Modifier	YELLOW		The hue of that portion of the visible spectrum lying between orange and green, evoked in the human observer by radiant energy with wavelengths of approximately 570 to 590 nanometers; any of a group of colors that may vary in lightness and saturation and whose hue resembles that of ripe lemons.	Yellow
C226060	C225362		Microscopic Findings Result Modifier	ZONAL		Of, or pertaining to a zone.	Zonal
